ALink,SName,SLink,Lyric,Idiom
/ac-dc/,The Jack,/ac-dc/the-jack.html,"She gave me the Queen. She gave me the King. She was wheelin' and dealin'. Just doin' her thing. She was holdin' a pair. But I had to try. Her Deuce was wild. But my Ace was high. But how was I to know. That she'd been dealt with before. Said she'd never had a Full House. But I should have known. From the tattoo on her left leg. And the garter on her right. She'd have the card to bring me down. If she played it right. She's got the Jack. She's got the Jack(7x). She's got the Jack, Jack, Jack, Jack, Jack, Jack, Jack. She's got the Jack. Poker face was her name. Poker face was her nature. Poker straight was her game. If she knew she could get you. She play'd 'em fast. And she play'd 'em hard. She could close her eyes. And feel every card. But how was I to know. That she'd been shuffled before. Said she'd never had a Royal Flush. But I should have known. That all the cards were comin'. From the bottom of the pack. And if I'd known what she was dealin' out. I'd have dealt it back. She's got the Jack, She's got the Jack. She's got the Jack, And who knows what else?. She's got the Jack, yeah, yeah. She's got the Jack(4x). She's got the Jack, Jack, Jack, Jack, Jack, Jack, Jack. She's got the Jack, She's got the Jack. She's got the Jack, Ooh, was a bad deal, Jack. She gave me the Jack hey. She's got the Jack, She's got the Jack, She's got the Jack. Ooh, can't ya tell?. She's got the Jack, Jack, Jack, Jack, Jack, Jack, Jack. She's got the Jack, She's got the Jack. She's got the Jack, She's got the Jack. You Never know! She's got the Jack. She's got the Jack, She's got the Jack. She's got the Jack, and it hurts!. She's got the Jack. She's got the Jack, Jack, Jack, Jack, Jack, Jack, Jack. She's got the Jack. AAAAAAAAAAAAH!. Oooooh!. Oooooh!. Thank you, thank you, thank you people,. thank you, thank you. I'm glad you like the show, yes, thank you very much folks.. Goodnight and God bless!",ENGLISH
/ac-dc/,Jailbreak,/ac-dc/jailbreak.html,"There was a friend of mine on murder. And the judge's gavel fell. Jury found him guilty. Gave him sixteen years in hell. He said ""I ain't spending my life here. I ain't living alone. Ain't breaking no rocks on the chain gang. I'm breakin' out and headin' home. Gonna make a jailbreak. And I'm lookin' towards the sky. I'm gonna make a jailbreak. Oh, how I wish that I could fly. All in the name of liberty. All in the name of liberty. Got to be free. Jailbreak, let me out of here. Jailbreak, sixteen years. Jailbreak, had more than I can take. Jailbreak, yeah"". He said he'd seen his lady being fooled with. By another man. She was down and he was up. He had a gun in his hand. Bullets started flying everywhere. And people started to scream. Big man lying on the ground. With a hole in his body. Where his life had been. But it was. All in the name of liberty. All in the name of liberty. I got to be free. Jailbreak, jailbreak. I got to break out. Out of here. Heartbeats they were racin'. Freedom he was chasin'. Spotlights, sirens, rifles firing. But he made it out. With a bullet in his back",ENGLISH
/ac-dc/,Are You Ready,/ac-dc/are-you-ready.html,"Are you ready. Are you ready. Are you ready. Are you ready. Sweet apple pie. Standing in the street. Hands outta line. Looking for some meat (heat?). She take you high. When you feel her sting. She make you fly. And you know you're coming. Who all need it - who. Who all need it - you. Who all need it, who all need it (yes you do). You all breathe it, we all need it. Are you ready for a good time. Then get ready for the night line. Are you ready for a good time. Then get ready for the night line. Are you ready for a good time. She's making eyes. At everything she meet. ain't it a crime. When she make you pump heat. She make you fly. Because that's her thing. She make you dry. And you know you're broken in. Who all need it, who all need it. (yes you do). You all breathe it, we all need it. Are you ready for a good time. Then get ready for the night line. Are you ready for a good time. Then get ready for the night line. Are you ready for a good time. Get with it. Who all need it, who all need it. You all breathe it, we all breathe it. Are you ready for a good time. Then get ready for the night line. Are you ready for a good time. Are you ready for a good time. Are you ready. Are you ready for a good time. I want a good time. Are you ready for a good time. Are you, are you ready. Are you ready for a good time. Good, good, good, good time. Are you ready for a good time. Are you ready, ready, ready. Are you ready for a good time. Are you ready for a good time",ENGLISH
/ac-dc/,Rock or Bust,/ac-dc/rock-or-bust.html,"""Hey, yeah. Are you ready?. We made a guitar band. We play across the land. Shootin' up tonight. Goin' keep you up all night. Hear the guitar sound. We play it nice and loud. Rock you to your knees. Goin' make your destiny. In rock we trust (it's rock or bust). In rock we trust, (it's rock or bust). In rock we trust, (it's rock or bust). In rock and roll we trust, (it's rock or bust). Come on. We hear the siren scream. It sounds so lean and mean. We love to shake you down. Know what we're talking about. We turn the amps up high. The crowd's gonna hit the sky. Play it fast and loose 'cos tonight we're gonna burn the fuse. In rock we trust (it's rock or bust). In rock we trust, (it's rock or bust). In rock we trust, (it's rock or bust). In rock and roll we trust, (it's rock or bust). (solo). Hey, yeah. Somebody else is home (?). In rock we trust, (it's rock or bust). In rock we trust, (it's rock or bust). In rock we trust, (it's rock or bust). In rock and roll we trust, (it's rock or bust)",ENGLISH
/ac-dc/,Let There Be Rock,/ac-dc/let-there-be-rock.html,"In the beginning. Back in nineteen fifty five. Man didn't know 'bout a rock 'n' roll show. 'n all that jive. The white man had the schmaltz. The black man had the blues. No one knew what they was gonna do. But tchaikovsky had the news. He said. Let there be sound, and there was sound. Let there be light, and there was light. Let there be drums, there was drums. Let there be guitar, there was guitar, ah. Let there be rock. And it came to pass. That rock 'n' roll was born. All across the land every rockin' band. Was blowin' up a storm. And the guitar man got famous. The business man got rich. And in every bar there was a superstar. With a seven year itch. There was fifteen million fingers. Learnin' how to play. And you could hear the fingers pickin'. And this is what they had to say. Let there be light. sound. drums. 'n guitar, ah. Let there be rock. One night in a club called the shakin' hand. There was a 42 decibel rockin' band. And the music was good. And the music was loud. And the singer turned and he said to the crowd. Let there be rock",ENGLISH
/ac-dc/,Night Prowler,/ac-dc/nigt-prowler.html,"Somewhere a clock strikes midnight. And there's a full moon in the sky. You hear a dog bark in the distance. You hear someone's baby cry. A rat runs down the alley. And a chill runs down your spine. And Someone walks across your grave. And you wish the sun would shine. Cuz No one's gonna warn you. And no one's gonna yell Attack. And you don't feel the steel. Till it's hanging out your back. I'm your Night Prowler, asleep in the day. Night Prowler, get out of my way. Yeah I'm the Night Prowler, watch you tonight. Yes I'm the Night Prowler, when you turn out the light .... Too scared to turn your light out. Cuz have something on your mind. Was that a noise outside the window?. What's that shadow on the blind?. As you lie there naked. Like a body in a tomb. Suspended animation. As I sleep into your room. I'm your Night Prowler, asleep in the day. Yeah I'm Night Prowler, get out of my way. Look out for the Night Prowler, watch you tonight. Yes I'm the Night Prowler, when you turn out the light .... Solo. I'm your Night Prowler, asleep in the day. Yes I'm Night Prowler, get out of my way. Look out for the Night Prowler, watch you tonight. Yes I'm the Night Prowler, when you turn out the light .... I'm your Night Prowler, break down your door. I'm your Night Prowler, crawling 'cross your floor. I'm your Night Prowler, make a mess of you, yes I will. Night Prowler, and I am telling this to you. There ain't nothing. There ain't nothing. oowwn. Nothing you can do. (Shazbot Nunu Nunu)",ENGLISH
/ac-dc/,Ain't No Fun (Waiting 'Round to Be a Millionaire),/ac-dc/aint-no-fun-waiting-round-to-be-a-millionaire.html,"The following is a true story. Only the names have been changed. To protect the guilty -. Well I left my job in my home town. And I headed for the smoke. Got a rock 'n' roll band and a fast right hand. Gonna get to the top. Nothing's gonna stop us, no nothing. So if you've got the money, we've got the sound. You put it up and we'll put it down. If you got the dollar, we got the song. Just wanna boogie woogie all night long. Yeh boogie. I got holes in my shoes. I got holes in my teeth. I got holes in my socks. I can't get no sleep. I'm trying to make a million. And I got patches on the patches. On my old blue jeans. Well they used to be blue. When they used to be new. When they used to be clean. But I've got a Momma who's a hummer. [and I've got a mama, who's a hummer]. Who's keeping me alive [[just] keepin' me alive]. While I'm in the band doing drinking with the boys. [while I'm doin' drinkin. She's working 9 to 5 [with the boys]. [She] knows her place that woman. Just you wait -. One of these days see me driving round town. In my rock 'n' Rolls Royce with the sun roof down. My bottle of booze. No summer time blues. Shouting out, ""Look at me"". In my rock 'n' roll voice. Ain't no fun waiting round to be a millionaire. (repeat). ""Hey hello Howard, how you doin', my next door. neighbour?"". ""Oh yea... Get your fuckin' jumbo jet off my airport""",ENGLISH
/ac-dc/,Givin' The Dog A Bone,/ac-dc/givin-the-dog-a-bone.html,She takes you down easy. Going down to her knees. Going down to the devil. Down down to ninety degrees. She's blowing me crazy. Till my ammunition is dry. She's using her head again. She's using her head. She's using her head again. I'm just giving the dog a bone. She's no Mona Lisa. She's no Playboy star. But she'll send you to heaven. Then explode you to Mars. She's using her head again. She's using her head. She's using her head again. I'm just giving the dog a bone. She got the power of union. She only hits when it's hot. And if she likes what you're doing. She'll give you a lot. (Given everything she got). I've just given the dog a bone,ENGLISH
/ac-dc/,Miss Adventure,/ac-dc/miss-adventure.html,"We are better, mamma, mamma lose. You hear me and you feel it too. She's out here rocking, out here down. [?] Stand up round. Miss adventure, not so far. Miss adventure, that's so right. Miss adventure, feel it real. Miss adventure, it's us, see. Want that party but can't let you down. See the rocks and the high cross burn. Loving, love you all night. Make, make you nice and tight. Miss adventure, not so far. Miss adventure, that's so right. Miss adventure, feel it real, confidential. Miss adventure, it's us, see. Miss adventure. Miss adventure. Miss adventure. Feel the beat, keep it now. Miss adventure. Miss adventure. Miss adventure, confidential. Miss adventure. Miss adventure, feel it real",ENGLISH
/ac-dc/,High Voltage,/ac-dc/high-voltage.html,"(well) You ask me 'bout the clothes I wear. And you ask me why I grow my hair. And you ask me why I'm in a band. I dig doin' one night stands. and You wanna see me do my thing. All you gotta do is plug me into high. I said high. High voltage rock 'n' roll. High voltage rock 'n' roll. High voltage, High voltage. High voltage rock 'n' roll. rock 'n' roll. You ask me why I like to dance. And you ask me why I like to sing. And you ask me why I like to play. I got to get my kicks some way. and You ask me what I'm all about. Come and let me hear you shout high. I said high. High voltage rock 'n' roll. High voltage rock 'n' roll. High voltage, High voltage. High voltage rock 'n' roll. rock 'n' roll. I said high, I said high. Waaaah!. High voltage rock 'n' roll. High voltage rock 'n' roll. High voltage, high voltage. High voltage rock 'n' roll. (mumble, mumble...). Spotlight, put the lights out, happy hour!. High voltage rock 'n' roll. High voltage rock 'n' roll. Wine, women and song. High voltage, high voltage. Wine women and song. High voltage rock 'n' roll. Stars, bars all around...spotlights, footlights... I take 'em!. por Erik Kyo",ENGLISH
/ac-dc/,Two's Up,/ac-dc/twos-up.html,"Three is company. Come on,. Last stand. Down to my last dime. I ain't got the sense to leave. The dealers cutting fine. Last draw. Back against the wall. Depending where the money is. Is where I'm gonna fall. Ace high. Hide your poker eyes. I didn't want to laugh too much. When I picked up the prize. Lady Luck. Standing at my side. I'll leave with more than I brought in. And I get out with my life. I get out with my life. CHORUS:. I go, you go, she go, we go. Two's up, it's a two's up. Give me head, give me tails. Give me doubled up and coming doubled over on the rails. Give me two's up, it's what I want. (Alright). High up. When you're looking down. Then you see two animals. Just fooling you around. Stray dogs. Gonna take them in. I don't know what your names are. But you're gonna break them in. All day. It's difficult to say. Who is doing what to whom. Who's out of the play. I love. The way you slide and slip. Love the way you girls work out. And make the partnership. Make that partnership. CHORUS. (Gotta give me double or quits). Two's up, two's up. Like your partnership. Like the way you slip. There ain't nothing like a two's up. That's the way it is, two's up. It's what I want to hear. Give me head, give me tails. Give me doubled up and coming over on the rails. Two's up, it's locomotion. Two's up, you're drivin' me wild. Give me high, give me low. Give me twice the satisfaction. Twice the pot of gold (?). And it's a two's up. It's gonna be two's up. We're gonna have a two's up, two's up, two's up, two's up. There ain't nothin' like a two's up. [Marcos A. Tancon]",ENGLISH
/ac-dc/,Come And Get It,/ac-dc/come-and-get-it.html,"Picking up the sleaze in my car. Hell no distance too far. Burning down the road in the night. Don't you scold me or I'll bite. These are the finer things in life. Don't think you live in paradise. I've got my filly wrapped in red. Upon my double decker bed. If you want it come and get it (come and get it). If you want it come and get it (come and get it). If you want it come and get it (come and get it). If you want it come and get it. Suckin' up the juice in the bar. Downin' every shooter so far. Checkin' out the girls what a sight. If you gonna blow me do it right. These are the finer things in life. Don't think you live in paradise. I've got my filly wrapped in red. Upon my double decker bed. If you want it come and get it (come and get it). If you want it come and get it (come and get it). If you want it come and get it (come and get it). If you want it come and get it. Come and get it. Said if you want it come and get it. If you want it come and get it, yeah. Now listen (come and get it). If you want it come and get it (come and get it). If you want it come and get it (come and get it). I said If you want it (come and get it). If you want it (come and get it). If you want it. If you want it. If you want it come and get it. Come and get it right here",ENGLISH
/ac-dc/,Hell Ain't A Bad Place To Be,/ac-dc/hell-aint-a-bad-place-to-be.html,"Hey you, yeah you. Sometimes I think this woman is kinda hot. Sometimes I think this woman is sometimes not. Puts me down, fool me around. Why she do it to me. Out for satisfaction. Any piece of action. That ain't the way it should be. She needs lovin'. Knows I'm the man. She's gotta see. Pours my beer. Licks my ear. Brings out the devil in me. Hell ain't a bad place to be. Spends my money. Drinks my booze. Stays out every night. But I got to thinkin', hey just a minute. Somethin' ain't right. All this disillusions and confusion. Make me wanna cry. Oh the shame you, playin' your games. Tellin' me those lies. Don't mind her playin' demon. Long as it's with me. If this is hell. Then you could say. It's heavenly. Hell ain't a bad place to be. Late at night. Turns down the light. Closes up on me. Opens my heart. Tears me apart. Brings out the devil in me. Hell ain't no bad place to be. I said hell ain't no bad place to be. Hell ain't no bad place to be. Hell ain't no bad place to be.",ENGLISH
/ac-dc/,Sin City,/ac-dc/sin-city.html,"Diamonds and dust. Poor man last, rich man first. Lamborghinis, caviar. Dry martinis, shangrela. I got a burning feeling. Deep inside of me. It's yearning. But I'm going to set it free. I'm going in to sin city. I'm gonna win in sin city. Where the lights are bright. Do the town tonight. I'm gonna win in sin city. I'm gonna rule you baby. Ladders and snakes. Ladders give, snakes take. Rich man, poor man, beggarman, thief. Ain't got a hope in hell, that's my belief. Fingers Fanny, Diamond Jim. They're getting ready, lookout I'm coming in. So spin that wheel, cut that pack. And roll those loaded dice. Bring on the dancing girls. And put the champaign on ice. I'm going in to sin city. I'm gonna win in sin city. Where the lights are bright. Do the town tonight. I'm gonna win in sin city",ENGLISH
/ac-dc/,The Jack (live Version),/ac-dc/the-jack-live-version.html,"She gave me her mind. Then she gave me her body. But it seemed to me. That she gave it to anybody. But I made her cry. And I made her scream. I took her high. And I curdled her cream. But how was I to know that she had been there before. She told me she was a virgin. She was number nine, ninety-nine on the clinical list. And I fell in love with the dirty little bitch. She's got the jack, she's got the jack. She's got the jack, she's got the jack. She's got the jack, she's got the jack. She's got the jack, she's got the jack. She's got the jack, jack, jack, jack, jack, jack, jack. She's got the jack. I searched her mind. And then I searched her body. ...But so did everybody. But she gave me her heart. And she gave me her soul. And a great, big - warn out. Empty hole. But how was I to know it had been filled in before. She said, ""Bon, I've never had the urgency"". She was number nine, ninety-nine on the critical list. And I fell in love with the dirty little bitch. She's got the Jack. (I'll kill her). (Oh and it hurts). You know, I woke up one morning. and there it was on the sheets -the clap. Now I know you all call it the clap. Over here so what I'm gonnado. I'm gonna say ""She's got the --"". and I want you all to shoutout. Just what it is she's got, in this case it's the clap. And if you wanna know who gave it to her. don't look at me",ENGLISH
